LOG_NO,RACE,GENDER,BIRTH_YEAR
2020-0000027,Black or African American,Female,1995
2020-0000028,"Hispanic, Latino, or Spanish origin",Female,1999
2020-0000030,Black or African American,Male,1991
2020-0000030,WHI,M,1978
2020-0000032,Black or African American,Male,1987
2020-0000032,Black or African American,Female,1982
2020-0000035,NULL,Female,1981
2020-0000036,Black or African American,Male,1981
2020-0000037,"Hispanic, Latino, or Spanish Origin",Female,1994
2020-0000037,"Hispanic, Latino, or Spanish Origin",Female,1977
2020-0000038,NULL,NULL,NULL
2020-0000039,NULL,NULL,NULL
2020-0000042,Black or African American,Female,1977
2020-0000048,Black or African American,Female,1955
2020-0000052,NULL,Male,1986
2020-0000052,"Hispanic, Latino, or Spanish Origin",Female,1998
2020-0000052,BLK,M,1972
2020-0000053,WHI,F,1976
2020-0000053,Black or African American,Male,1987
2020-0000055,WHI,M,NULL
2020-0000057,White,Female,1990
2020-0000058,Black or African American,Female,1974
2020-0000058,WHI,M,1959
2020-0000062,WHI,M,1970
2020-0000063,"Hispanic, Latino, or Spanish origin",Male,2000
2020-0000068,WHI,M,1972
2020-0000069,Not listed,Female,1967
2020-0000070,Black or African American,Male,1990
2020-0000071,"Hispanic, Latino, or Spanish origin",Female,1984
2020-0000073,Black or African American,Male,1988
2020-0000073,WHI,M,1978
2020-0000073,WHI,M,1979
2020-0000075,NULL,Male,NULL
2020-0000081,Black or African American,Male,1988
2020-0000082,Black or African American,Male,1996
2020-0000083,"Hispanic, Latino, or Spanish Origin",Female,1997
2020-0000086,Black or African American,Male,1988
2020-0000087,WHI,F,1966
2020-0000091,American Indian or Alaska Native,NULL,1953
2020-0000093,Not listed,Male,1992
2020-0000098,Black or African American,Male,1975
2020-0000100,Black or African American,Female,1968
2020-0000100,WHI,M,1981
2020-0000103,I,M,1977
2020-0000103,Black or African American,Female,1970
2020-0000109,Black or African American,Male,1988
2020-0000114,WHI,M,1970
2020-0000119,American Indian or Alaska Native,Male,1971
2020-0000120,Black or African American,Female,1973
2020-0000121,Black or African American,Male,1993
2020-0000125,"Hispanic, Latino, or Spanish Origin",Female,1963
2020-0000128,NULL,NULL,1979
2020-0000130,Black or African American,Male,1992
2020-0000131,Black or African American,Male,1978
2020-0000137,Black or African American,Female,NULL
2020-0000137,NULL,Male,1995
2020-0000138,Asian,Male,1997
2020-0000139,"Hispanic, Latino, or Spanish origin",Female,1973
2020-0000140,NULL,Male,1983
2020-0000140,WHI,M,1971
2020-0000144,Black or African American,Female,1976
2020-0000148,White,Female,1997
2020-0000149,"Hispanic, Latino, or Spanish Origin",Male,1965
2020-0000152,NULL,Male,1997
2020-0000158,NULL,Male,NULL
2020-0000162,Black or African American,Female,NULL
2020-0000163,Black or African American,Male,1978
2020-0000165,Black or African American,Male,1970
2020-0000168,Black or African American,Male,1988
2020-0000170,Black or African American,Male,1986
2020-0000171,White,Female,1973
2020-0000174,NULL,NULL,NULL
2020-0000175,Black or African American,Male,1983
2020-0000190,White,Male,1992
2020-0000192,"Hispanic, Latino, or Spanish origin",Male,1999
2020-0000194,Black or African American,Male,1974
2020-0000195,Black or African American,Male,1980
2020-0000196,Black or African American,Male,1988
2020-0000197,Black or African American,Male,1965
2020-0000198,"Hispanic, Latino, or Spanish Origin",Male,1975
2020-0000200,Black or African American,Female,1989
2020-0000203,Black or African American,Male,1962
2020-0000208,"Hispanic, Latino, or Spanish Origin",Female,1990
2020-0000217,Black or African American,Female,1970
2020-0000218,Black or African American,Female,1968
2020-0000219,NULL,NULL,NULL
2020-0000225,NULL,Male,1993
2020-0000228,Black or African American,Male,1985
2020-0000229,NULL,Female,1980
2020-0000230,Black or African American,Male,1985
2020-0000233,WHI,M,1971
2020-0000238,API,M,1980
2020-0000238,Black or African American,Female,1975
2020-0000243,Black or African American,Male,1988
2020-0000245,NULL,Male,1998
2020-0000251,Black or African American,Male,1959
2020-0000253,Black or African American,Male,1982
2020-0000254,Black or African American,Female,1992
2020-0000260,NULL,Male,NULL
2020-0000261,Black or African American,Male,1971
2020-0000263,WHI,M,1974
2020-0000266,Black or African American,Female,1987
2020-0000274,Black or African American,Male,NULL
2020-0000274,Black or African American,NULL,NULL
2020-0000274,BLK,M,1972
2020-0000275,"Hispanic, Latino, or Spanish Origin",Male,1999
2020-0000283,"Hispanic, Latino, or Spanish Origin",Male,1963
2020-0000285,"Hispanic, Latino, or Spanish Origin",Male,1980
2020-0000294,"Hispanic, Latino, or Spanish Origin",Male,1990
2020-0000294,WHI,M,1962
2020-0000295,WHI,M,1971
2020-0000295,Black or African American,Female,1992
2020-0000300,Black or African American,Female,1984
2020-0000300,WHI,M,1978
2020-0000302,Black or African American,Male,1978
2020-0000305,Black or African American,Male,1987
2020-0000307,Black or African American,Male,1991
2020-0000309,Black or African American,Male,1973
2020-0000314,Black or African American,Female,1965
2020-0000314,S,F,1975
2020-0000319,Black or African American,Female,1976
2020-0000320,NULL,Male,1993
2020-0000323,Black or African American,Male,1985
2020-0000326,Asian,Female,1991
2020-0000327,"Hispanic, Latino, or Spanish origin",Male,1965
2020-0000329,NULL,NULL,NULL
2020-0000332,Black or African American,Male,1976
2020-0000334,NULL,NULL,NULL
2020-0000336,Black or African American,Male,1985
2020-0000336,Black or African American,Female,NULL
2020-0000337,Black or African American,Female,1976
2020-0000338,NULL,NULL,NULL
2020-0000342,Black or African American,Male,1985
2020-0000354,Black or African American,Male,1978
2020-0000356,Black or African American,Male,1993
2020-0000358,Black or African American,Male,1991
2020-0000362,White,Female,1980
2020-0000362,White,Male,1993
2020-0000365,Black or African American,Male,1990
2020-0000366,Black or African American,Male,1978
2020-0000381,Black or African American,Male,1985
2020-0000381,WHI,M,1979
2020-0000385,NULL,NULL,NULL
2020-0000386,NULL,NULL,NULL
2020-0000387,NULL,NULL,NULL
2020-0000401,NULL,NULL,NULL
2020-0000404,Black or African American,Male,1966
2020-0000404,Black or African American,Female,1989
2020-0000407,Black or African American,Male,1997
2020-0000409,White,Male,1977
2020-0000410,Black or African American,Male,1988
2020-0000410,WHI,M,1973
2020-0000412,WHI,M,1971
2020-0000412,NULL,NULL,NULL
2020-0000412,NULL,NULL,NULL
2020-0000415,Black or African American,Male,1991
2020-0000418,"Hispanic, Latino, or Spanish Origin",Male,1995
2020-0000420,Black or African American,Male,1983
2020-0000422,Black or African American,Female,1967
2020-0000423,Black or African American,Male,1986
2020-0000426,Black or African American,Male,1990
2020-0000428,Black or African American,Female,1951
2020-0000429,NULL,NULL,NULL
2020-0000430,Black or African American,Male,1992
2020-0000439,Black or African American,Male,NULL
2020-0000439,WHI,M,1979
2020-0000441,WHI,M,1969
2020-0000441,NULL,NULL,NULL
2020-0000447,WHI,M,1975
2020-0000447,Black or African American,Male,1977
2020-0000449,Black or African American,Female,1982
2020-0000450,Black or African American,Male,1985
2020-0000450,WHI,M,1972
2020-0000451,WHI,M,1967
2020-0000453,Black or African American,Male,1987
2020-0000458,Black or African American,Male,1997
2020-0000459,Black or African American,NULL,1987
2020-0000461,Black or African American,Male,1969
2020-0000464,WHI,M,NULL
2020-0000465,NULL,Female,NULL
2020-0000467,Black or African American,Female,1992
2020-0000469,Black or African American,NULL,2000
2020-0000471,Black or African American,Male,1986
2020-0000472,Black or African American,Male,1972
2020-0000477,Black or African American,Male,1980
2020-0000478,NULL,NULL,1972
2020-0000479,Black or African American,Female,1989
2020-0000480,Black or African American,Male,1989
2020-0000489,Black or African American,Male,1987
2020-0000491,Not listed,Female,1963
2020-0000493,Black or African American,Female,1976
2020-0000494,Native Hawaiian or Other Pacific Islander,Prefer not to say,1974
2020-0000495,NULL,Female,NULL
2020-0000495,WHI,F,1973
2020-0000502,WHI,F,1966
2020-0000507,Black or African American,Male,1982
2020-0000508,NULL,NULL,1983
2020-0000510,Black or African American,Male,1984
2020-0000513,NULL,Female,NULL
2020-0000519,Black or African American,Male,1994
2020-0000524,Black or African American,Male,1965
2020-0000526,Black or African American,Male,1964
2020-0000530,NULL,NULL,NULL
2020-0000541,"Hispanic, Latino, or Spanish origin",Male,1971
2020-0000542,Black or African American,Male,1995
2020-0000544,Black or African American,Female,1995
2020-0000547,NULL,NULL,1997
2020-0000550,Black or African American,Female,1993
2020-0000554,Black or African American,Male,1982
2020-0000558,Black or African American,Male,1998
2020-0000558,WHI,M,1980
2020-0000568,WHI,M,1977
2020-0000568,White,Female,1958
2020-0000570,White,Female,1985
2020-0000571,Black or African American,Male,1984
2020-0000571,WHI,M,1973
2020-0000573,White,Male,1969
2020-0000577,"Hispanic, Latino, or Spanish Origin",Male,1983
2020-0000579,Black or African American,Male,1983
2020-0000582,Black or African American,Male,1986
2020-0000592,Black or African American,Male,1976
2020-0000593,Black or African American,Male,1958
2020-0000594,"Some Other Race, Ethnicity, or Origin",Male,1989
2020-0000599,White,Male,1946
2020-0000601,White,Male,1967
2020-0000602,"Some Other Race, Ethnicity, or Origin",Male,1979
2020-0000606,Black or African American,Male,1990
2020-0000610,Black or African American,Male,1983
2020-0000611,NULL,NULL,1966
2020-0000613,Black or African American,NULL,1982
2020-0000614,NULL,Female,NULL
2020-0000615,Black or African American,Male,1994
2020-0000616,Black or African American,Male,1992
2020-0000616,WHI,M,1974
2020-0000618,"Hispanic, Latino, or Spanish Origin",Female,2000
2020-0000622,Black or African American,Female,1969
2020-0000623,NULL,NULL,NULL
2020-0000630,Black or African American,Female,1984
2020-0000632,Black or African American,Male,1985
2020-0000633,Black or African American,Male,1980
2020-0000645,Black or African American,Female,1984
2020-0000645,WHI,F,1976
2020-0000646,NULL,NULL,1980
2020-0000649,"Hispanic, Latino, or Spanish Origin",Male,1956
2020-0000651,Black or African American,Female,1996
2020-0000652,Black or African American,Male,1995
2020-0000657,"Hispanic, Latino, or Spanish Origin",Male,1984
2020-0000661,Black or African American,Male,1979
2020-0000671,WHI,M,1972
2020-0000672,WHI,M,1966
2020-0000674,WHI,M,1974
2020-0000674,Black or African American,Female,1970
2020-0000676,NULL,Male,NULL
2020-0000676,WHI,M,1981
2020-0000678,WHI,M,1982
2020-0000678,"Hispanic, Latino, or Spanish Origin",Female,1994
2020-0000680,White,Male,1979
2020-0000680,NULL,NULL,NULL
2020-0000681,Black or African American,Male,1998
2020-0000687,WHI,M,1969
2020-0000688,White,Male,1985
2020-0000691,Black or African American,Male,1983
2020-0000698,Black or African American,Male,1990
2020-0000699,"Hispanic, Latino, or Spanish Origin",Female,1992
2020-0000701,Black or African American,Female,1987
2020-0000701,BLK,F,1982
2020-0000704,S,M,1965
2020-0000704,Black or African American,Female,NULL
2020-0000709,Black or African American,Non-Binary / Third Gender,1979
2020-0000711,Black or African American,Male,1958
2020-0000716,Black or African American,Male,1999
2020-0000717,WHI,M,1965
2020-0000721,Black or African American,Male,1977
2020-0000722,WHI,M,1974
2020-0000731,WHI,M,1979
2020-0000731,White,NULL,NULL
2020-0000737,Black or African American,Male,1983
2020-0000739,NULL,Male,1993
2020-0000750,NULL,NULL,NULL
2020-0000757,"Hispanic, Latino, or Spanish Origin",Female,1990
2020-0000757,WHI,M,1978
2020-0000760,"Hispanic, Latino, or Spanish origin",Male,1990
2020-0000765,Black or African American,Female,1989
2020-0000766,White,Female,1964
2020-0000767,Black or African American,Male,1992
2020-0000778,Black or African American,Male,1991
2020-0000778,WHI,M,1979
2020-0000779,WHI,M,1965
2020-0000779,"Hispanic, Latino, or Spanish Origin",Female,1991
2020-0000782,White,Female,1959
2020-0000783,WHI,M,1976
2020-0000790,WHI,M,1971
2020-0000790,Black or African American,Male,1989
2020-0000792,"Hispanic, Latino, or Spanish origin",Female,1990
2020-0000793,WHI,M,1966
2020-0000795,WHI,M,1972
2020-0000795,Black or African American,Female,1987
2020-0000796,NULL,NULL,1993
2020-0000797,Middle Eastern or North African,Male,1978
2020-0000805,White,NULL,1977
2020-0000806,NULL,Female,1976
2020-0000807,NULL,NULL,NULL
2020-0000808,Black or African American,Male,1972
2020-0000814,WHI,M,1975
2020-0000816,Black or African American,Male,1997
2020-0000817,Black or African American,Female,1998
2020-0000818,Black or African American,Male,1955
2020-0000819,Black or African American,Male,NULL
2020-0000823,Black or African American,Female,1989
2020-0000825,Black or African American,NULL,1978
2020-0000827,Black or African American,Male,1981
2020-0000830,Asian,Female,1991
2020-0000831,White,Male,1974
2020-0000833,Black or African American,Male,1988
2020-0000833,S,M,1978
2020-0000836,Black or African American,Male,1985
2020-0000839,White,Female,1977
2020-0000842,NULL,Female,1973
2020-0000843,"Hispanic, Latino, or Spanish Origin",Male,1984
2020-0000853,White,NULL,1983
2020-0000854,Black or African American,Male,1990
2020-0000856,NULL,Male,1992
2020-0000861,Black or African American,Male,1990
2020-0000863,Black or African American,Male,1990
2020-0000866,NULL,NULL,NULL
2020-0000866,BLK,F,1970
2020-0000867,Black or African American,Male,1995
2020-0000869,Black or African American,Male,1989
2020-0000871,WHI,M,1976
2020-0000875,Black or African American,Female,2001
2020-0000875,Black or African American,Male,1993
2020-0000880,Black or African American,Prefer to Self-Describe,1992
2020-0000880,Black or African American,Female,1999
2020-0000880,WHI,F,1957
2020-0000881,Black or African American,Female,1998
2020-0000887,NULL,NULL,NULL
2020-0000887,WHI,M,1976
2020-0000888,Black or African American,Male,1988
2020-0000891,White,Female,2020
2020-0000894,WHI,M,1968
2020-0000895,WHI,M,1964
2020-0000895,Black or African American,Female,1988
2020-0000898,"Hispanic, Latino, or Spanish Origin",Male,1982
2020-0000898,WHI,M,1967
2020-0000902,Black or African American,Female,1989
2020-0000904,Black or African American,Male,NULL
2020-0000906,Black or African American,Female,1940
2020-0000909,White,Male,1989
2020-0000911,Black or African American,Female,1988
2020-0000911,NULL,NULL,1990
2020-0000913,Black or African American,Male,1977
2020-0000915,Black or African American,Male,1993
2020-0000916,Black or African American,Female,1983
2020-0000923,Not listed,Male,1990
2020-0000924,Black or African American,Female,1967
2020-0000926,Black or African American,Male,1989
2020-0000929,NULL,Female,1977
2020-0000929,NULL,Male,1985
2020-0000929,WHI,F,1983
2020-0000930,White,Non-binary/third gender,1997
2020-0000933,Black or African American,Male,1978
2020-0000940,WHI,M,NULL
2020-0000941,NULL,NULL,NULL
2020-0000947,Black or African American,Male,1973
2020-0000952,Asian,Male,1973
2020-0000956,Black or African American,Female,1980
2020-0000959,"Hispanic, Latino, or Spanish Origin",Male,1981
2020-0000959,"Hispanic, Latino, or Spanish Origin",Male,1989
2020-0000959,WHI,M,1971
2020-0000961,Black or African American,Female,1980
2020-0000965,Black or African American,Male,1970
2020-0000965,Black or African American,Female,1987
2020-0000966,Black or African American,Female,1965
2020-0000974,Black or African American,Male,1984
2020-0000978,WHI,M,1963
2020-0000979,Black or African American,Female,1987
2020-0000982,Black or African American,Female,1991
2020-0000986,Black or African American,Male,NULL
2020-0000988,NULL,NULL,NULL
2020-0000989,Black or African American,NULL,1981
2020-0000990,White,Male,1995
2020-0000993,Asian,Female,1975
2020-0000993,NULL,NULL,NULL
2020-0000996,Black or African American,Male,2001
2020-0001000,WHI,F,1966
2020-0001001,WHI,M,1975
2020-0001001,Black or African American,Female,1983
2020-0001003,Asian,Male,NULL
2020-0001004,Not listed,Male,1972
2020-0001005,Black or African American,Female,1983
2020-0001006,API,M,1975
2020-0001010,WHI,M,1978
2020-0001013,NULL,Female,NULL
2020-0001014,Black or African American,Female,1988
2020-0001019,Black or African American,Female,1980
2020-0001021,Black or African American,Male,1990
2020-0001023,NULL,NULL,1980
2020-0001023,NULL,NULL,NULL
2020-0001025,Black or African American,Male,1990
2020-0001026,Black or African American,Female,1980
2020-0001029,NULL,NULL,NULL
2020-0001029,WHI,M,1975
2020-0001036,White,Female,1994
2020-0001040,"Some Other Race, Ethnicity, or Origin",Male,1985
2020-0001041,Black or African American,Female,1980
2020-0001042,Black or African American,Male,1965
2020-0001043,Black or African American,Male,2001
2020-0001044,Black or African American,Female,1963
2020-0001044,WHI,F,1980
2020-0001046,"Hispanic, Latino, or Spanish Origin",Male,NULL
2020-0001047,Black or African American,Male,1978
2020-0001048,Black or African American,Female,1991
2020-0001052,Black or African American,Male,1973
2020-0001055,Black or African American,Male,1978
2020-0001056,Black or African American,Male,1991
2020-0001060,NULL,Male,1995
2020-0001060,BLK,M,1972
2020-0001062,Black or African American,Male,1979
2020-0001066,NULL,NULL,NULL
2020-0001067,Black or African American,Male,1990
2020-0001070,Black or African American,Male,1997
2020-0001071,Black or African American,Female,1982
2020-0001074,NULL,Male,1971
2020-0001077,Black or African American,Female,1971
2020-0001085,White,Female,1985
2020-0001086,WHI,M,1968
2020-0001089,WHI,M,1976
2020-0001089,NULL,Female,1989
2020-0001094,WHI,M,1976
2020-0001094,NULL,Female,1978
2020-0001095,"Hispanic, Latino, or Spanish origin",Female,1982
2020-0001096,White,Male,2020
2020-0001097,WHI,M,1969
2020-0001104,Black or African American,Male,1992
2020-0001105,Black or African American,Male,1991
2020-0001106,"Hispanic, Latino, or Spanish origin",Male,1995
2020-0001108,Black or African American,Female,1987
2020-0001112,NULL,Male,1984
2020-0001113,Black or African American,Male,1970
2020-0001117,Black or African American,Male,1994
2020-0001117,S,F,1980
2020-0001118,White,Female,1990
2020-0001119,S,M,1975
2020-0001119,Black or African American,Male,1993
2020-0001120,White,Female,1972
2020-0001121,Black or African American,Male,2000
2020-0001123,Black or African American,Male,1995
2020-0001130,NULL,Male,NULL
2020-0001134,WHI,M,1981
2020-0001135,BLK,M,1967
2020-0001136,WHI,M,1981
2020-0001137,WHI,M,1981
2020-0001138,"Hispanic, Latino, or Spanish origin",Male,1984
2020-0001139,Black or African American,Female,1998
2020-0001139,WHI,M,1971
2020-0001143,Not listed,Male,NULL
2020-0001146,NULL,Male,NULL
2020-0001146,NULL,NULL,NULL
2020-0001147,NULL,Female,1976
2020-0001149,White,Female,1952
2020-0001150,"Hispanic, Latino, or Spanish Origin",Female,1983
2020-0001151,Black or African American,Female,1987
2020-0001155,Black or African American,Male,1966
2020-0001156,NULL,NULL,NULL
2020-0001156,WHI,M,1969
2020-0001161,Black or African American,Male,1977
2020-0001164,Black or African American,Female,1985
2020-0001176,WHI,M,1969
2020-0001177,Black or African American,Male,1977
2020-0001180,WHI,M,1983
2020-0001181,Black or African American,Male,1992
2020-0001183,White,Male,1994
2020-0001183,WHI,M,1981
2020-0001184,WHI,M,1977
2020-0001184,NULL,NULL,NULL
2020-0001185,White,Male,1967
2020-0001186,White,Male,1969
2020-0001188,Black or African American,Female,1994
2020-0001188,Black or African American,Male,1984
2020-0001192,"Hispanic, Latino, or Spanish origin",Male,2001
2020-0001195,Black or African American,Female,1984
2020-0001200,Black or African American,Female,1985
2020-0001202,NULL,NULL,NULL
2020-0001203,"Hispanic, Latino, or Spanish origin",Female,1995
2020-0001206,Black or African American,Male,1979
2020-0001213,API,M,1979
2020-0001214,Not listed,Male,1982
2020-0001215,Black or African American,Male,1990
2020-0001215,WHI,M,1980
2020-0001219,Black or African American,Male,1973
2020-0001221,Black or African American,Male,1994
2020-0001222,NULL,NULL,NULL
2020-0001223,Black or African American,Male,1965
2020-0001234,Black or African American,Male,2001
2020-0001238,"Hispanic, Latino, or Spanish Origin",Male,1987
2020-0001240,Black or African American,Male,1999
2020-0001241,Black or African American,Male,1968
2020-0001243,NULL,NULL,NULL
2020-0001244,Black or African American,Female,1987
2020-0001246,White,Male,1988
2020-0001249,Black or African American,Female,1974
2020-0001251,Black or African American,Female,1993
2020-0001256,Black or African American,Female,1982
2020-0001257,White,Male,1982
2020-0001258,Black or African American,Male,1982
2020-0001263,BLK,M,1968
2020-0001266,NULL,NULL,NULL
2020-0001268,BLK,M,1965
2020-0001270,Black or African American,Male,1973
2020-0001271,NULL,NULL,NULL
2020-0001273,NULL,NULL,1959
2020-0001275,Black or African American,Male,NULL
2020-0001279,"Hispanic, Latino, or Spanish origin",Female,2000
2020-0001285,S,M,1970
2020-0001287,NULL,NULL,NULL
2020-0001289,NULL,NULL,NULL
2020-0001290,White,Female,NULL
2020-0001292,Black or African American,Male,1983
2020-0001293,Black or African American,Male,1990
2020-0001294,NULL,Male,NULL
2020-0001297,NULL,NULL,NULL
2020-0001298,Black or African American,Male,1989
2020-0001299,NULL,NULL,NULL
2020-0001300,Black or African American,Female,1990
2020-0001301,Black or African American,Female,1987
2020-0001306,Black or African American,Male,1989
2020-0001306,NULL,NULL,NULL
2020-0001307,NULL,NULL,NULL
2020-0001310,NULL,NULL,NULL
2020-0001311,Black or African American,Male,1982
2020-0001312,NULL,NULL,NULL
2020-0001313,Black or African American,Male,1987
2020-0001315,Black or African American,Male,1985
2020-0001316,NULL,NULL,NULL
2020-0001317,Black or African American,Male,1991
2020-0001318,Black or African American,Male,1978
2020-0001320,Black or African American,Male,1985
2020-0001321,Black or African American,Male,1987
2020-0001322,NULL,Male,NULL
2020-0001323,NULL,NULL,NULL
2020-0001324,Black or African American,Female,1981
2020-0001325,Black or African American,Male,1990
2020-0001326,NULL,NULL,NULL
2020-0001327,Black or African American,Male,1995
2020-0001328,NULL,NULL,NULL
2020-0001332,Black or African American,Male,NULL
2020-0001332,API,M,1967
2020-0001333,WHI,M,1989
2020-0001335,Black or African American,Male,1994
2020-0001336,White,Female,1974
2020-0001350,White,Female,1974
2020-0001351,NULL,NULL,NULL
2020-0001352,Black or African American,Female,1989
2020-0001353,"Hispanic, Latino, or Spanish Origin",Female,1990
2020-0001354,WHI,M,1971
2020-0001355,Black or African American,Male,1991
2020-0001359,Black or African American,Female,1970
2020-0001373,Black or African American,Male,NULL
2020-0001375,"Hispanic, Latino, or Spanish origin",Male,1989
2020-0001377,WHI,M,1981
2020-0001380,White,Male,1995
2020-0001386,NULL,NULL,1985
2020-0001392,Black or African American,Male,1997
2020-0001393,WHI,M,1981
2020-0001399,WHI,M,1967
2020-0001399,White,Male,1994
2020-0001401,Black or African American,Female,1981
2020-0001402,Black or African American,Female,1983
2020-0001403,Black or African American,Male,1966
2020-0001406,WHI,M,1972
2020-0001409,"Hispanic, Latino, or Spanish origin",Male,1985
2020-0001410,"Hispanic, Latino, or Spanish origin",Male,1985
2020-0001414,Not listed,Male,1960
2020-0001417,Black or African American,Female,1989
2020-0001417,Black or African American,Male,1994
2020-0001421,Black or African American,Male,1974
2020-0001426,White,Female,NULL
2020-0001429,WHI,M,1979
2020-0001431,WHI,M,1965
2020-0001431,Black or African American,Male,1985
2020-0001437,Black or African American,Female,1997
2020-0001438,Black or African American,Female,1969
2020-0001438,Black or African American,Male,1966
2020-0001446,White,Female,2020
2020-0001448,"Hispanic, Latino, or Spanish Origin",Female,1985
2020-0001448,WHI,M,1977
2020-0001450,NULL,Female,1971
2020-0001451,Not listed,Male,1960
2020-0001452,Black or African American,Female,1990
2020-0001454,NULL,NULL,NULL
2020-0001457,Not listed,Male,1960
2020-0001458,Asian,Male,1978
2020-0001463,WHI,M,1969
2020-0001463,Black or African American,Male,NULL
2020-0001464,Black or African American,Male,1970
2020-0001464,NULL,Male,NULL
2020-0001468,WHI,M,1984
2020-0001470,Asian,Male,1965
2020-0001474,"Hispanic, Latino, or Spanish Origin",Female,1975
2020-0001474,WHI,M,1976
2020-0001475,Black or African American,Male,1989
2020-0001476,Not listed,Male,1960
2020-0001479,Black or African American,Male,1953
2020-0001480,Not listed,Male,1960
2020-0001485,NULL,NULL,NULL
2020-0001490,BLK,M,1977
2020-0001490,BLK,F,1980
2020-0001490,BLK,F,1982
2020-0001491,"Hispanic, Latino, or Spanish origin",Female,NULL
2020-0001495,Black or African American,Female,1959
2020-0001498,NULL,Male,1998
2020-0001500,Black or African American,Female,1974
2020-0001501,WHI,F,1974
2020-0001507,Black or African American,Male,1970
2020-0001515,"Hispanic, Latino, or Spanish Origin",Female,1993
2020-0001524,White,Female,1991
2020-0001524,NULL,Male,NULL
2020-0001525,"Hispanic, Latino, or Spanish Origin",Male,1986
2020-0001532,NULL,NULL,1967
2020-0001535,"Hispanic, Latino, or Spanish Origin",Male,NULL
2020-0001535,I,M,1970
2020-0001545,Black or African American,Female,1972
2020-0001547,Black or African American,Female,1948
2020-0001550,"Hispanic, Latino, or Spanish origin",Male,2000
2020-0001552,Black or African American,Male,1992
2020-0001553,NULL,NULL,1995
2020-0001553,BLK,F,1982
2020-0001554,Black or African American,Male,1992
2020-0001557,Black or African American,Female,1971
2020-0001559,"Hispanic, Latino, or Spanish Origin",Male,1985
2020-0001562,Black or African American,Male,1997
2020-0001566,NULL,NULL,NULL
2020-0001566,WHI,M,1964
2020-0001570,Black or African American,Male,1953
2020-0001574,NULL,NULL,NULL
2020-0001577,Asian,Male,1977
2020-0001587,Asian,Male,1984
2020-0001588,"Hispanic, Latino, or Spanish Origin",Male,1990
2020-0001591,Black or African American,NULL,NULL
2020-0001595,Black or African American,Female,1976
2020-0001596,Black or African American,Female,1986
2020-0001609,Black or African American,Male,1987
2020-0001611,Black or African American,Male,1983
2020-0001612,Black or African American,Male,1960
2020-0001617,White,Male,1980
2020-0001618,Black or African American,Female,1982
2020-0001625,"Hispanic, Latino, or Spanish origin",Female,1994
2020-0001626,WHI,M,1965
2020-0001626,Black or African American,Male,1989
2020-0001635,Black or African American,Female,1996
2020-0001635,WHI,M,1974
2020-0001636,Asian,Male,1986
2020-0001642,Black or African American,Male,1981
2020-0001643,Black or African American,Male,1986
2020-0001646,Black or African American,Female,1992
2020-0001647,Native Hawaiian or Other Pacific Islander,Female,1997
2020-0001648,Black or African American,Male,1988
2020-0001651,"Hispanic, Latino, or Spanish Origin",Male,1987
2020-0001651,S,F,1980
2020-0001653,Not listed,Non-binary/third gender,1993
2020-0001654,Asian,Female,1994
2020-0001659,WHI,M,NULL
2020-0001663,BLK,M,1973
2020-0001668,Black or African American,Male,1998
2020-0001670,Not listed,Female,1990
2020-0001671,WHI,M,1972
2020-0001680,NULL,Female,1983
2020-0001682,NULL,NULL,1980
2020-0001687,NULL,Male,NULL
2020-0001687,WHI,M,1981
2020-0001690,White,Male,1984
2020-0001692,NULL,NULL,NULL
2020-0001694,Black or African American,Female,1992
2020-0001695,Middle Eastern or North African,Male,1959
2020-0001696,White,Male,1950
2020-0001697,Black or African American,Female,1987
2020-0001698,Black or African American,Male,NULL
2020-0001701,Black or African American,Male,1966
2020-0001703,WHI,M,1948
2020-0001705,Black or African American,Male,1973
2020-0001707,Black or African American,Male,1973
2020-0001710,Black or African American,Male,1972
2020-0001710,S,M,1974
2020-0001711,White,Female,1977
2020-0001712,API,M,1969
2020-0001714,WHI,M,1979
2020-0001717,BLK,M,1960
2020-0001720,S,M,1969
2020-0001720,White,Female,NULL
2020-0001723,WHI,M,1984
2020-0001724,WHI,M,1965
2020-0001727,Black or African American,Male,1963
2020-0001728,Black or African American,Male,1971
2020-0001732,Black or African American,Female,NULL
2020-0001735,NULL,Male,NULL
2020-0001739,Black or African American,Male,NULL
2020-0001739,BLK,F,1970
2020-0001742,White,Male,1981
2020-0001751,NULL,NULL,NULL
2020-0001753,Not listed,Female,1974
2020-0001754,Black or African American,Male,1997
2020-0001755,NULL,NULL,NULL
2020-0001757,Black or African American,Female,1972
2020-0001759,White,Male,1985
2020-0001760,White,Male,1989
2020-0001761,Black or African American,Male,1975
2020-0001761,S,M,1971
2020-0001762,BLK,F,1969
2020-0001762,Black or African American,Male,NULL
2020-0001769,NULL,NULL,NULL
2020-0001770,WHI,M,1975
2020-0001771,"Hispanic, Latino, or Spanish origin",Male,1979
2020-0001773,White,NULL,1990
2020-0001773,S,M,1975
2020-0001775,White,Female,1990
2020-0001778,Black or African American,Female,1981
2020-0001784,Black or African American,Male,1988
2020-0001785,NULL,Male,NULL
2020-0001786,White,Female,1995
2020-0001787,White,Female,1990
2020-0001787,WHI,M,1976
2020-0001788,Black or African American,Male,1996
2020-0001796,Black or African American,Female,2001
2020-0001805,NULL,NULL,NULL
2020-0001807,White,Male,1981
2020-0001808,White,Female,2000
