LOG_NO,RACE,GENDER,BIRTH_YEAR,AGE
2019-0004960,NULL,NULL,NULL,NULL
2019-0004964,Black or African American,Prefer not to say,1995,24
2019-0004964,Black or African American,Female,NULL,NULL
2019-0004965,NULL,NULL,NULL,NULL
2019-0004967,NULL,NULL,NULL,NULL
2019-0004968,NULL,NULL,NULL,NULL
2019-0004970,NULL,NULL,NULL,NULL
2019-0004971,NULL,NULL,NULL,NULL
2019-0004975,NULL,NULL,NULL,NULL
2019-0004981,NULL,NULL,NULL,NULL
2019-0004985,NULL,NULL,NULL,NULL
2019-0004987,NULL,NULL,NULL,NULL
2019-0004988,NULL,NULL,NULL,NULL
2019-0004990,NULL,NULL,NULL,NULL
2019-0004992,NULL,NULL,NULL,NULL
2019-0004994,Black or African American,Male,1971,48
2019-0005000,Black or African American,Female,1995,24
2019-0005008,Black or African American,Female,1989,30
2019-0005013,NULL,NULL,NULL,NULL
2019-0005014,NULL,NULL,NULL,NULL
2019-0005018,NULL,NULL,NULL,NULL
2019-0005021,NULL,NULL,NULL,NULL
2019-0005023,NULL,NULL,NULL,NULL
2019-0005026,NULL,NULL,NULL,NULL
2019-0005028,NULL,NULL,NULL,NULL
2019-0005029,Asian,Female,1980,39
2019-0005029,Black or African American,Female,1998,21
2019-0005035,NULL,NULL,NULL,NULL
2019-0005036,NULL,NULL,NULL,NULL
2019-0005037,Black or African American,NULL,2006,13
2019-0005038,"Hispanic, Latino, or Spanish origin",Female,NULL,NULL
2019-0005041,NULL,NULL,NULL,NULL
2019-0005042,NULL,NULL,NULL,NULL
2019-0005043,NULL,NULL,NULL,NULL
2019-0005047,NULL,NULL,NULL,NULL
2019-0005049,Black or African American,Male,1999,20
2019-0005050,NULL,NULL,NULL,NULL
2019-0005054,NULL,NULL,NULL,NULL
2019-0005059,NULL,NULL,NULL,NULL
2019-0005060,White,Female,NULL,NULL
2019-0005060,Black or African American,Female,NULL,NULL
2019-0005064,NULL,Male,2002,17
2019-0005064,NULL,Female,2002,17
2019-0005075,NULL,NULL,NULL,NULL
2019-0005076,NULL,NULL,NULL,NULL
2019-0005077,NULL,NULL,NULL,NULL
2019-0005078,NULL,NULL,NULL,NULL
2019-0005079,NULL,NULL,NULL,NULL
2019-0005081,NULL,NULL,NULL,NULL
2019-0005082,Black or African American,Female,NULL,NULL
2019-0005085,NULL,NULL,NULL,NULL
2019-0005092,NULL,NULL,NULL,NULL
2019-0005094,NULL,NULL,NULL,NULL
2019-0005097,NULL,NULL,NULL,NULL
2019-0005101,NULL,NULL,NULL,NULL
2019-0005104,"Hispanic, Latino, or Spanish Origin",Male,NULL,NULL
2019-0005108,NULL,NULL,NULL,NULL
2019-0005109,NULL,NULL,NULL,NULL
2019-0005116,NULL,NULL,NULL,NULL
2019-0005117,NULL,Female,1983,36
2019-0005118,Black or African American,Male,NULL,NULL
2019-0005119,NULL,NULL,NULL,NULL
2019-0005120,NULL,Male,NULL,NULL
2019-0005124,NULL,Female,NULL,NULL
2019-0005126,NULL,NULL,NULL,NULL
2019-0005131,NULL,NULL,NULL,NULL
2019-0005132,NULL,NULL,NULL,NULL
2019-0005132,NULL,NULL,NULL,NULL
2019-0005135,NULL,NULL,NULL,NULL
2019-0005136,NULL,NULL,NULL,NULL
2019-0005137,Black or African American,Male,NULL,NULL
2019-0005137,Black or African American,Female,NULL,NULL
2019-0005137,Black or African American,Male,1988,31
2019-0005138,NULL,NULL,NULL,NULL
2019-0005141,NULL,NULL,NULL,NULL
2019-0005142,NULL,NULL,NULL,NULL
2019-0005149,NULL,NULL,NULL,NULL
2019-0005153,NULL,NULL,NULL,NULL
2019-0005154,NULL,NULL,NULL,NULL
2019-0005156,NULL,NULL,NULL,NULL
2019-0005157,NULL,NULL,NULL,NULL
2019-0005158,Black or African American,Female,1979,40
2019-0005159,"Hispanic, Latino, or Spanish origin",Male,1999,20
2019-0005163,NULL,NULL,NULL,NULL
2019-0005165,NULL,NULL,NULL,NULL
2019-0005168,NULL,NULL,NULL,NULL
2019-0005169,NULL,NULL,NULL,NULL
2019-0005170,NULL,NULL,NULL,NULL
2019-0005174,NULL,NULL,NULL,NULL
2019-0005178,NULL,NULL,NULL,NULL
2019-0005183,NULL,NULL,NULL,NULL
2019-0005184,NULL,NULL,NULL,NULL
2019-0005186,NULL,NULL,NULL,NULL
2019-0005187,NULL,NULL,NULL,NULL
2019-0005190,NULL,NULL,NULL,NULL
2019-0005191,NULL,NULL,NULL,NULL
2019-0005192,NULL,NULL,NULL,NULL
2019-0005193,Black or African American,Female,1988,31
2019-0005193,Black or African American,Male,1947,72
2019-0005193,Black or African American,Male,1960,59
2019-0005194,NULL,NULL,NULL,NULL
2019-0005196,NULL,NULL,NULL,NULL
2019-0005197,Middle Eastern or North African,Female,1980,39
2019-0005198,Black or African American,NULL,NULL,NULL
2019-0005199,NULL,NULL,NULL,NULL
2019-0005200,Black or African American,Male,1993,26
2019-0005203,NULL,NULL,NULL,NULL
2019-0005205,NULL,NULL,NULL,NULL
2019-0005206,NULL,NULL,NULL,NULL
2019-0005207,NULL,NULL,NULL,NULL
2019-0005209,NULL,NULL,NULL,NULL
2019-0005215,NULL,NULL,NULL,NULL
2019-0005216,NULL,NULL,NULL,NULL
2019-0005220,Black or African American,Female,1991,28
2019-0005221,Black or African American,Male,1960,59
2019-0005221,Black or African American,Male,1982,37
2019-0005221,Black or African American,Female,1999,20
2019-0005225,NULL,NULL,NULL,NULL
2019-0005229,NULL,NULL,NULL,NULL
2019-0005230,NULL,NULL,NULL,NULL
2019-0005233,NULL,NULL,NULL,NULL
2019-0005234,NULL,NULL,NULL,NULL
2019-0005236,NULL,NULL,NULL,NULL
2019-0005237,Black or African American,Female,NULL,NULL
2019-0005238,NULL,NULL,NULL,NULL
2019-0005239,Black or African American,Male,1996,23
2019-0005243,NULL,NULL,NULL,NULL
2019-0005244,NULL,NULL,NULL,NULL
2019-0005245,NULL,NULL,NULL,NULL
2019-0005246,NULL,Female,NULL,NULL
2019-0005246,NULL,Male,NULL,NULL
2019-0005247,NULL,NULL,NULL,NULL
2019-0005250,NULL,NULL,NULL,NULL
2019-0005251,NULL,NULL,NULL,NULL
2019-0005256,Black or African American,Female,1955,64
2019-0005257,NULL,NULL,NULL,NULL
2019-0005258,NULL,NULL,NULL,NULL
2019-0005261,NULL,NULL,NULL,NULL
2019-0005265,NULL,Female,1970,49
2019-0005269,NULL,NULL,NULL,NULL
2019-0005272,NULL,NULL,NULL,NULL
2019-0005277,Black or African American,Male,1977,42
2019-0005280,NULL,NULL,NULL,NULL
2019-0005282,NULL,NULL,NULL,NULL
2019-0005284,NULL,NULL,NULL,NULL
2019-0005285,NULL,NULL,NULL,NULL
2019-0005286,NULL,NULL,NULL,NULL
2019-0005290,NULL,NULL,NULL,NULL
2019-0005291,NULL,NULL,NULL,NULL
2019-0005302,NULL,NULL,NULL,NULL
2019-0005309,NULL,NULL,NULL,NULL
2019-0005312,NULL,NULL,NULL,NULL
2019-0005315,NULL,NULL,NULL,NULL
2019-0005316,NULL,NULL,NULL,NULL
2019-0005317,NULL,NULL,NULL,NULL
2019-0005318,NULL,NULL,NULL,NULL
2019-0005321,NULL,NULL,NULL,NULL
2019-0005323,NULL,NULL,NULL,NULL
2020-0000000,NULL,Female,1988,32
2020-0000000,NULL,Female,1969,51
2020-0000002,NULL,NULL,NULL,NULL
2020-0000006,NULL,NULL,NULL,NULL
2020-0000007,NULL,NULL,NULL,NULL
2020-0000009,NULL,NULL,NULL,NULL
2020-0000011,NULL,NULL,NULL,NULL
2020-0000014,Black or African American,Male,1992,28
2020-0000014,Black or African American,Male,1954,66
2020-0000014,"Hispanic, Latino, or Spanish Origin",Male,1964,56
2020-0000019,NULL,NULL,NULL,NULL
2020-0000022,NULL,NULL,NULL,NULL
2020-0000024,NULL,NULL,NULL,NULL
2020-0000025,NULL,NULL,NULL,NULL
2020-0000026,NULL,NULL,NULL,NULL
2020-0000027,Black or African American,Female,1996,24
2020-0000027,NULL,NULL,1993,27
2020-0000027,Black or African American,Female,1996,24
2020-0000028,NULL,NULL,NULL,NULL
2020-0000030,NULL,NULL,NULL,NULL
2020-0000032,Black or African American,Male,1987,33
2020-0000032,Black or African American,Female,1982,38
2020-0000035,NULL,Male,1980,40
2020-0000036,NULL,NULL,NULL,NULL
2020-0000037,"Hispanic, Latino, or Spanish Origin",Female,1994,26
2020-0000037,"Hispanic, Latino, or Spanish Origin",Male,1995,25
2020-0000037,"Hispanic, Latino, or Spanish Origin",Female,1977,43
2020-0000038,NULL,NULL,NULL,NULL
2020-0000039,NULL,NULL,NULL,NULL
2020-0000042,NULL,NULL,NULL,NULL
2020-0000048,Black or African American,Male,1955,65
2020-0000052,"Hispanic, Latino, or Spanish Origin",Female,1998,22
2020-0000053,NULL,Female,1988,32
2020-0000053,White,Female,1961,59
2020-0000055,NULL,NULL,NULL,NULL
2020-0000057,NULL,NULL,NULL,NULL
2020-0000058,NULL,NULL,NULL,NULL
2020-0000062,Black or African American,Female,1991,29
2020-0000062,Black or African American,Female,1977,43
2020-0000063,"Hispanic, Latino, or Spanish origin",Male,NULL,NULL
2020-0000068,NULL,Female,NULL,NULL
2020-0000068,NULL,Female,NULL,NULL
2020-0000069,NULL,NULL,NULL,NULL
2020-0000070,Black or African American,Female,NULL,NULL
2020-0000071,Black or African American,Male,1977,43
2020-0000071,"Hispanic, Latino, or Spanish origin",Female,NULL,NULL
2020-0000073,Black or African American,Female,NULL,NULL
2020-0000075,NULL,NULL,NULL,NULL
2020-0000081,NULL,NULL,NULL,NULL
2020-0000082,NULL,NULL,NULL,NULL
2020-0000083,NULL,NULL,NULL,NULL
2020-0000086,NULL,NULL,NULL,NULL
2020-0000087,NULL,NULL,NULL,NULL
2020-0000091,American Indian or Alaska Native,NULL,1953,67
2020-0000093,NULL,NULL,NULL,NULL
2020-0000098,Black or African American,Female,2020,0
2020-0000098,Black or African American,Female,1963,57
2020-0000100,NULL,NULL,NULL,NULL
2020-0000103,Black or African American,Female,NULL,NULL
2020-0000109,NULL,NULL,NULL,NULL
2020-0000114,White,NULL,NULL,NULL
2020-0000114,NULL,NULL,NULL,NULL
2020-0000119,NULL,NULL,NULL,NULL
2020-0000120,NULL,NULL,NULL,NULL
2020-0000121,NULL,NULL,NULL,NULL
2020-0000125,NULL,NULL,NULL,NULL
2020-0000128,NULL,NULL,NULL,NULL
2020-0000130,Black or African American,Male,1987,33
2020-0000131,NULL,NULL,NULL,NULL
2020-0000137,NULL,NULL,NULL,NULL
2020-0000138,NULL,NULL,NULL,NULL
2020-0000139,NULL,NULL,NULL,NULL
2020-0000140,NULL,NULL,NULL,NULL
2020-0000144,NULL,NULL,NULL,NULL
2020-0000148,NULL,NULL,NULL,NULL
2020-0000149,NULL,NULL,NULL,NULL
2020-0000152,NULL,NULL,NULL,NULL
2020-0000158,NULL,NULL,NULL,NULL
2020-0000162,NULL,NULL,NULL,NULL
2020-0000163,NULL,NULL,NULL,NULL
2020-0000165,NULL,NULL,NULL,NULL
2020-0000168,NULL,NULL,NULL,NULL
2020-0000170,NULL,NULL,NULL,NULL
2020-0000171,NULL,NULL,NULL,NULL
2020-0000174,NULL,NULL,NULL,NULL
2020-0000175,NULL,NULL,NULL,NULL
2020-0000190,White,Female,NULL,NULL
2020-0000192,NULL,NULL,NULL,NULL
2020-0000194,NULL,NULL,NULL,NULL
2020-0000195,NULL,NULL,NULL,NULL
2020-0000196,NULL,NULL,NULL,NULL
2020-0000197,NULL,Female,NULL,NULL
2020-0000197,NULL,Female,NULL,NULL
2020-0000198,"Hispanic, Latino, or Spanish Origin",Female,NULL,NULL
2020-0000200,Black or African American,Female,2003,17
2020-0000203,NULL,NULL,NULL,NULL
2020-0000208,NULL,NULL,NULL,NULL
2020-0000217,Black or African American,Female,1973,47
2020-0000217,Black or African American,Female,1993,27
2020-0000218,NULL,NULL,NULL,NULL
2020-0000219,NULL,NULL,NULL,NULL
2020-0000225,NULL,NULL,NULL,NULL
2020-0000228,NULL,NULL,NULL,NULL
2020-0000229,NULL,NULL,NULL,NULL
2020-0000230,NULL,NULL,NULL,NULL
2020-0000233,NULL,NULL,NULL,NULL
2020-0000238,Black or African American,Male,NULL,NULL
2020-0000243,NULL,NULL,NULL,NULL
2020-0000245,NULL,NULL,NULL,NULL
2020-0000251,NULL,NULL,NULL,NULL
2020-0000253,Black or African American,Male,1982,38
2020-0000253,NULL,Male,1974,46
2020-0000254,NULL,NULL,NULL,NULL
2020-0000260,NULL,Female,NULL,NULL
2020-0000261,NULL,NULL,NULL,NULL
2020-0000263,NULL,NULL,NULL,NULL
2020-0000266,NULL,NULL,NULL,NULL
2020-0000274,NULL,NULL,NULL,NULL
2020-0000275,NULL,NULL,NULL,NULL
2020-0000283,NULL,NULL,NULL,NULL
2020-0000285,NULL,NULL,NULL,NULL
2020-0000294,NULL,NULL,NULL,NULL
2020-0000295,NULL,NULL,NULL,NULL
2020-0000300,NULL,NULL,NULL,NULL
2020-0000302,NULL,NULL,NULL,NULL
2020-0000305,NULL,NULL,NULL,NULL
2020-0000307,NULL,NULL,NULL,NULL
2020-0000309,NULL,Female,1973,47
2020-0000314,NULL,NULL,NULL,NULL
2020-0000319,NULL,NULL,NULL,NULL
2020-0000320,NULL,NULL,NULL,NULL
2020-0000323,NULL,NULL,NULL,NULL
2020-0000326,NULL,NULL,NULL,NULL
2020-0000327,NULL,NULL,NULL,NULL
2020-0000329,NULL,NULL,NULL,NULL
2020-0000332,NULL,NULL,NULL,NULL
2020-0000334,NULL,NULL,NULL,NULL
2020-0000336,Black or African American,Female,NULL,NULL
2020-0000337,NULL,NULL,NULL,NULL
2020-0000338,NULL,NULL,NULL,NULL
2020-0000342,NULL,NULL,NULL,NULL
2020-0000354,NULL,NULL,NULL,NULL
2020-0000356,NULL,NULL,NULL,NULL
2020-0000358,NULL,NULL,NULL,NULL
2020-0000362,White,Male,1993,27
2020-0000365,NULL,NULL,NULL,NULL
2020-0000365,NULL,NULL,NULL,NULL
2020-0000366,Black or African American,Male,1959,61
2020-0000366,Black or African American,Male,1987,33
2020-0000381,NULL,NULL,NULL,NULL
2020-0000385,NULL,NULL,NULL,NULL
2020-0000386,NULL,NULL,NULL,NULL
2020-0000387,NULL,NULL,NULL,NULL
2020-0000401,NULL,NULL,NULL,NULL
2020-0000404,NULL,NULL,NULL,NULL
2020-0000407,NULL,NULL,NULL,NULL
2020-0000409,NULL,NULL,NULL,NULL
2020-0000410,White,Female,1989,31
2020-0000412,NULL,NULL,NULL,NULL
2020-0000415,NULL,NULL,NULL,NULL
2020-0000418,NULL,NULL,NULL,NULL
2020-0000420,NULL,NULL,NULL,NULL
2020-0000422,NULL,NULL,NULL,NULL
2020-0000423,NULL,NULL,NULL,NULL
2020-0000426,NULL,NULL,NULL,NULL
2020-0000428,NULL,NULL,NULL,NULL
2020-0000429,NULL,NULL,NULL,NULL
2020-0000430,"Hispanic, Latino, or Spanish Origin",Female,1983,37
2020-0000439,Black or African American,Male,NULL,NULL
2020-0000439,Black or African American,Female,NULL,NULL
2020-0000439,Black or African American,Female,NULL,NULL
2020-0000441,NULL,NULL,NULL,NULL
2020-0000447,Black or African American,Male,1981,39
2020-0000449,NULL,NULL,NULL,NULL
2020-0000450,NULL,NULL,NULL,NULL
2020-0000451,NULL,NULL,NULL,NULL
2020-0000453,NULL,NULL,NULL,NULL
2020-0000458,NULL,NULL,NULL,NULL
2020-0000459,NULL,NULL,NULL,NULL
2020-0000461,NULL,NULL,NULL,NULL
2020-0000464,NULL,NULL,NULL,NULL
2020-0000465,NULL,NULL,NULL,NULL
2020-0000467,Black or African American,Male,NULL,NULL
2020-0000469,NULL,NULL,NULL,NULL
2020-0000471,NULL,NULL,NULL,NULL
2020-0000472,NULL,NULL,NULL,NULL
2020-0000477,White,Female,1981,39
2020-0000478,NULL,Female,1970,50
2020-0000479,NULL,NULL,NULL,NULL
2020-0000480,NULL,NULL,NULL,NULL
2020-0000489,NULL,NULL,NULL,NULL
2020-0000491,NULL,NULL,NULL,NULL
2020-0000493,NULL,NULL,NULL,NULL
2020-0000494,Black or African American,Male,1970,50
2020-0000495,NULL,NULL,NULL,NULL
2020-0000502,NULL,NULL,NULL,NULL
2020-0000507,NULL,Female,1983,37
2020-0000508,NULL,NULL,NULL,NULL
2020-0000510,NULL,NULL,NULL,NULL
2020-0000513,NULL,NULL,NULL,NULL
2020-0000519,NULL,NULL,NULL,NULL
2020-0000524,NULL,NULL,NULL,NULL
2020-0000526,NULL,NULL,NULL,NULL
2020-0000530,NULL,NULL,NULL,NULL
2020-0000541,NULL,NULL,NULL,NULL
2020-0000542,NULL,NULL,NULL,NULL
2020-0000544,Black or African American,Female,1995,25
2020-0000547,NULL,NULL,NULL,NULL
2020-0000550,Black or African American,Male,1988,32
2020-0000550,Black or African American,Female,2012,8
2020-0000554,NULL,NULL,NULL,NULL
2020-0000558,NULL,NULL,NULL,NULL
2020-0000568,NULL,NULL,NULL,NULL
2020-0000570,NULL,NULL,NULL,NULL
2020-0000571,NULL,NULL,NULL,NULL
2020-0000573,White,Female,1975,45
2020-0000573,NULL,Female,NULL,NULL
2020-0000577,NULL,NULL,NULL,NULL
2020-0000579,NULL,Female,NULL,NULL
2020-0000582,NULL,NULL,NULL,NULL
2020-0000592,Black or African American,Female,1976,44
2020-0000593,NULL,NULL,NULL,NULL
2020-0000594,NULL,NULL,NULL,NULL
2020-0000599,NULL,NULL,NULL,NULL
2020-0000601,NULL,NULL,NULL,NULL
2020-0000602,NULL,NULL,NULL,NULL
2020-0000606,NULL,NULL,NULL,NULL
2020-0000610,NULL,NULL,NULL,NULL
2020-0000611,NULL,NULL,NULL,NULL
2020-0000613,NULL,NULL,NULL,NULL
2020-0000614,NULL,Female,NULL,NULL
2020-0000615,NULL,NULL,NULL,NULL
2020-0000616,Black or African American,Male,1993,27
2020-0000616,Black or African American,Female,1998,22
2020-0000618,NULL,NULL,NULL,NULL
2020-0000622,"Hispanic, Latino, or Spanish origin",Male,NULL,NULL
2020-0000623,NULL,NULL,NULL,NULL
2020-0000630,NULL,NULL,NULL,NULL
2020-0000632,Black or African American,Female,1990,30
2020-0000632,Black or African American,Male,1985,35
2020-0000633,NULL,NULL,NULL,NULL
2020-0000645,NULL,NULL,NULL,NULL
2020-0000646,NULL,NULL,NULL,NULL
2020-0000649,NULL,NULL,NULL,NULL
2020-0000651,NULL,NULL,NULL,NULL
2020-0000652,Black or African American,Male,1991,29
2020-0000657,NULL,NULL,NULL,NULL
2020-0000661,Black or African American,Male,1981,39
2020-0000671,NULL,Male,1991,29
2020-0000671,NULL,Female,2014,6
2020-0000671,NULL,NULL,1979,41
2020-0000671,NULL,Male,1979,41
2020-0000672,White,Male,1972,48
2020-0000672,Black or African American,Male,1984,36
2020-0000674,NULL,Male,1987,33
2020-0000674,NULL,NULL,NULL,NULL
2020-0000674,NULL,NULL,NULL,NULL
2020-0000674,Black or African American,Female,1970,50
2020-0000676,NULL,NULL,NULL,NULL
2020-0000678,NULL,NULL,NULL,NULL
2020-0000680,NULL,NULL,NULL,NULL
2020-0000681,NULL,NULL,NULL,NULL
2020-0000687,White,Female,1964,56
2020-0000687,White,Male,1959,61
2020-0000688,Black or African American,Female,1980,40
2020-0000691,NULL,NULL,NULL,NULL
2020-0000698,Black or African American,Female,NULL,NULL
2020-0000699,NULL,NULL,NULL,NULL
2020-0000701,NULL,NULL,NULL,NULL
2020-0000704,Black or African American,Male,2002,18
2020-0000704,Black or African American,Male,1984,36
2020-0000709,NULL,NULL,NULL,NULL
2020-0000711,NULL,NULL,NULL,NULL
2020-0000716,Black or African American,Male,1999,21
2020-0000717,NULL,NULL,NULL,NULL
2020-0000721,NULL,NULL,NULL,NULL
2020-0000722,NULL,NULL,NULL,NULL
2020-0000731,White,NULL,NULL,NULL
2020-0000731,NULL,NULL,1972,48
2020-0000731,NULL,Female,1969,51
2020-0000731,NULL,Male,NULL,NULL
2020-0000737,NULL,NULL,NULL,NULL
2020-0000739,NULL,NULL,NULL,NULL
2020-0000750,Black or African American,Female,1975,45
2020-0000750,Black or African American,Female,1993,27
2020-0000757,NULL,NULL,NULL,NULL
2020-0000760,"Hispanic, Latino, or Spanish origin",Female,1990,30
2020-0000765,NULL,NULL,NULL,NULL
2020-0000766,NULL,NULL,NULL,NULL
2020-0000767,NULL,NULL,NULL,NULL
2020-0000767,NULL,NULL,NULL,NULL
2020-0000778,NULL,NULL,NULL,NULL
2020-0000779,"Hispanic, Latino, or Spanish Origin",Female,1993,27
2020-0000782,NULL,NULL,NULL,NULL
2020-0000783,NULL,NULL,NULL,NULL
2020-0000790,NULL,NULL,NULL,NULL
2020-0000792,"Hispanic, Latino, or Spanish origin",Male,2020,0
2020-0000793,NULL,NULL,NULL,NULL
2020-0000795,Black or African American,Male,1993,27
2020-0000795,Black or African American,Female,1990,30
2020-0000796,NULL,NULL,NULL,NULL
2020-0000797,NULL,NULL,NULL,NULL
2020-0000805,White,NULL,1977,43
2020-0000806,NULL,NULL,NULL,NULL
2020-0000807,NULL,NULL,NULL,NULL
2020-0000808,NULL,NULL,NULL,NULL
2020-0000814,NULL,NULL,NULL,NULL
2020-0000816,NULL,NULL,NULL,NULL
2020-0000817,NULL,NULL,NULL,NULL
2020-0000818,NULL,NULL,NULL,NULL
2020-0000819,NULL,NULL,NULL,NULL
2020-0000823,NULL,NULL,NULL,NULL
2020-0000825,Black or African American,Female,1994,26
2020-0000825,NULL,NULL,NULL,NULL
2020-0000827,NULL,NULL,NULL,NULL
2020-0000830,NULL,NULL,NULL,NULL
2020-0000831,NULL,NULL,NULL,NULL
2020-0000833,Black or African American,Female,1987,33
2020-0000836,Black or African American,Male,1990,30
2020-0000839,NULL,NULL,NULL,NULL
2020-0000842,NULL,NULL,NULL,NULL
2020-0000843,NULL,NULL,NULL,NULL
2020-0000853,NULL,NULL,NULL,NULL
2020-0000854,NULL,NULL,NULL,NULL
2020-0000856,NULL,Female,NULL,NULL
2020-0000861,NULL,NULL,NULL,NULL
2020-0000863,NULL,NULL,NULL,NULL
2020-0000866,NULL,NULL,NULL,NULL
2020-0000867,NULL,NULL,NULL,NULL
2020-0000869,NULL,NULL,NULL,NULL
2020-0000871,Black or African American,Female,1998,22
2020-0000871,Black or African American,Male,1996,24
2020-0000875,NULL,NULL,NULL,NULL
2020-0000880,NULL,NULL,NULL,NULL
2020-0000881,Black or African American,Female,1998,22
2020-0000887,NULL,NULL,NULL,NULL
2020-0000888,NULL,NULL,NULL,NULL
2020-0000891,White,Female,2020,0
2020-0000894,NULL,NULL,NULL,NULL
2020-0000895,NULL,NULL,NULL,NULL
2020-0000898,NULL,NULL,NULL,NULL
2020-0000902,NULL,NULL,NULL,NULL
2020-0000904,NULL,NULL,NULL,NULL
2020-0000906,Black or African American,Male,NULL,NULL
2020-0000906,Black or African American,Female,NULL,NULL
2020-0000909,NULL,NULL,NULL,NULL
2020-0000911,NULL,NULL,NULL,NULL
2020-0000913,Black or African American,Female,1973,47
2020-0000915,NULL,NULL,NULL,NULL
2020-0000916,NULL,NULL,NULL,NULL
2020-0000923,NULL,NULL,NULL,NULL
2020-0000924,Black or African American,Male,1988,32
2020-0000926,NULL,NULL,NULL,NULL
2020-0000929,NULL,Male,NULL,NULL
2020-0000930,NULL,NULL,NULL,NULL
2020-0000933,NULL,NULL,NULL,NULL
2020-0000940,NULL,NULL,NULL,NULL
2020-0000941,NULL,NULL,NULL,NULL
2020-0000947,NULL,NULL,NULL,NULL
2020-0000952,NULL,NULL,NULL,NULL
2020-0000956,NULL,NULL,NULL,NULL
2020-0000959,NULL,NULL,NULL,NULL
2020-0000961,NULL,NULL,NULL,NULL
2020-0000965,NULL,NULL,NULL,NULL
2020-0000966,Black or African American,Male,1984,36
2020-0000966,Black or African American,Male,1988,32
2020-0000966,Black or African American,Male,1989,31
2020-0000966,Black or African American,Female,2015,5
2020-0000974,NULL,NULL,NULL,NULL
2020-0000978,NULL,NULL,NULL,NULL
2020-0000979,NULL,NULL,NULL,NULL
2020-0000982,NULL,NULL,NULL,NULL
2020-0000986,NULL,NULL,NULL,NULL
2020-0000988,NULL,NULL,NULL,NULL
2020-0000989,NULL,Female,2011,9
2020-0000990,NULL,NULL,NULL,NULL
2020-0000993,NULL,NULL,NULL,NULL
2020-0000996,Black or African American,Female,NULL,NULL
2020-0001000,"Hispanic, Latino, or Spanish Origin",Male,1949,71
2020-0001000,NULL,Female,1939,81
2020-0001000,White,Male,NULL,NULL
2020-0001000,White,Male,1982,38
2020-0001000,White,Male,1985,35
2020-0001001,NULL,NULL,NULL,NULL
2020-0001003,Asian,Female,1982,38
2020-0001004,NULL,NULL,NULL,NULL
2020-0001005,NULL,NULL,NULL,NULL
2020-0001006,Black or African American,Female,1992,28
2020-0001010,NULL,NULL,NULL,NULL
2020-0001013,NULL,NULL,NULL,NULL
2020-0001014,Black or African American,Male,1991,29
2020-0001014,NULL,Female,1990,30
2020-0001014,NULL,Male,1985,35
2020-0001019,NULL,NULL,NULL,NULL
2020-0001021,NULL,NULL,NULL,NULL
2020-0001023,NULL,NULL,NULL,NULL
2020-0001025,NULL,NULL,NULL,NULL
2020-0001026,NULL,NULL,NULL,NULL
2020-0001029,NULL,NULL,NULL,NULL
2020-0001036,NULL,NULL,NULL,NULL
2020-0001040,NULL,NULL,NULL,NULL
2020-0001041,NULL,NULL,NULL,NULL
2020-0001042,NULL,NULL,NULL,NULL
2020-0001043,NULL,NULL,NULL,NULL
2020-0001044,NULL,NULL,NULL,NULL
2020-0001046,NULL,NULL,NULL,NULL
2020-0001047,NULL,NULL,NULL,NULL
2020-0001048,Black or African American,Male,NULL,NULL
2020-0001052,NULL,NULL,NULL,NULL
2020-0001055,NULL,NULL,NULL,NULL
2020-0001056,NULL,NULL,NULL,NULL
2020-0001060,NULL,Female,1992,28
2020-0001062,NULL,NULL,NULL,NULL
2020-0001066,NULL,NULL,NULL,NULL
2020-0001067,NULL,NULL,NULL,NULL
2020-0001070,NULL,NULL,NULL,NULL
2020-0001071,NULL,NULL,NULL,NULL
2020-0001074,NULL,NULL,NULL,NULL
2020-0001077,NULL,NULL,NULL,NULL
2020-0001077,NULL,NULL,NULL,NULL
2020-0001085,NULL,NULL,NULL,NULL
2020-0001086,"Hispanic, Latino, or Spanish Origin",Male,NULL,NULL
2020-0001086,"Hispanic, Latino, or Spanish Origin",Female,NULL,NULL
2020-0001089,NULL,NULL,NULL,NULL
2020-0001094,NULL,NULL,NULL,NULL
2020-0001095,NULL,NULL,NULL,NULL
2020-0001096,Black or African American,Female,NULL,NULL
2020-0001097,NULL,Female,1992,28
2020-0001104,NULL,NULL,NULL,NULL
2020-0001105,NULL,NULL,NULL,NULL
2020-0001106,NULL,NULL,NULL,NULL
2020-0001108,NULL,NULL,NULL,NULL
2020-0001112,NULL,Female,NULL,NULL
2020-0001113,NULL,NULL,NULL,NULL
2020-0001117,NULL,Female,1994,26
2020-0001118,NULL,NULL,NULL,NULL
2020-0001119,NULL,NULL,NULL,NULL
2020-0001120,NULL,NULL,NULL,NULL
2020-0001121,NULL,NULL,NULL,NULL
2020-0001123,NULL,NULL,NULL,NULL
2020-0001130,NULL,NULL,NULL,NULL
2020-0001134,NULL,NULL,NULL,NULL
2020-0001135,NULL,NULL,NULL,NULL
2020-0001136,NULL,NULL,NULL,NULL
2020-0001137,NULL,NULL,NULL,NULL
2020-0001138,NULL,NULL,NULL,NULL
2020-0001139,NULL,NULL,NULL,NULL
2020-0001143,NULL,NULL,NULL,NULL
2020-0001146,NULL,NULL,NULL,NULL
2020-0001147,NULL,NULL,NULL,NULL
2020-0001149,NULL,NULL,NULL,NULL
2020-0001150,NULL,NULL,NULL,NULL
